X111,X211,X311,X411,X112,X212,X312,X412,X113,X213,X313,X413,X121,X221,X321,X421,X122,X222,X322,X422,X123,X223,X323,X423,X131,X231,X331,X431,X132,X232,X332,X432,X133,X233,X333,X433
33.2,87.7,76,88.6,37.2,101.7,91.1,97.1,36,99.8,83.9,91.8,34.7,93,79.7,87.6,33.9,86,76.4,94.6,35.3,93.5,89.6,99.8,36.6,106,104.3,115.5,38.5,105.6,105,106.4,51.2,136.2,148.1,147.7
36.4,93.5,73.9,88.5,32.8,92.3,83.4,90.4,37.8,102.7,89.2,99.2,36.5,104.3,90.9,93.8,35.9,95.1,88.2,92.8,37.8,96.4,95.4,99.3,41.2,119.8,122.1,112.8,40.4,114.9,115.9,111.9,40.2,102.7,101.3,101.7
34,90.8,75,89.2,38.7,88.5,82.8,95.5,37.5,97.2,83.1,95.4,38.4,104.8,98.3,99.6,38,103.4,101.2,103.1,40.6,114.1,106.8,113.9,38.4,118.5,113.1,113.8,40.9,108.5,105,104.5,41.3,115.8,113.4,109.8
35.2,99.6,86.4,90.1,41.1,106.9,95.3,98.2,38.5,99,91.8,96.2,40.8,106.4,100.5,100.5,38.5,101.6,96.6,100.6,36,89.2,83.4,89.6,39.1,100.6,93.9,100.1,40.9,121.6,113.9,107.1,42.1,117,115.6,116.1
36.5,93.4,83.3,93,35.9,88.7,76.6,89.8,34.5,92.9,84.4,94,36.4,99.1,92.8,99.2,42.1,105.6,98.8,104.8,40.7,104.9,94.1,102.7,40.2,114.8,108.1,102.5,37.3,113.3,111.2,114.1,41.8,115.2,113.7,112.4
38.7,99.4,86.7,96.2,40.7,98.9,92.1,103.5,35.7,92.7,81.9,95.3,38.9,111.1,111.5,101.7,37.4,98.6,93,97,36.3,94.6,90.3,99.1,38.4,97.7,95.8,97.1,40.8,112.4,108.5,107.1,40.5,115.4,105.3,97
37.7,98.9,84.1,94,36.9,99.3,83.3,97.5,34.6,89.8,79.5,92.7,34,95.8,87.9,99.2,31.1,93.1,87.3,96.6,38.9,108.3,101.3,97.8,38.8,119.6,118,114.3,40.1,105.3,105.5,108.3,41.5,106.6,104.3,106
34,83.4,70.4,87.2,34.3,89.2,77.9,91,37.3,93.5,84.5,100.6,36.9,94,86.1,95.2,37.2,96.3,90.6,99.3,39,103.7,97.6,104.2,43.2,128.3,126.2,125.6,38,107.6,102.4,99.4,41.4,119.7,109,109.1
33.4,88.8,78.2,87.5,36.7,97.4,83.5,98.7,38.1,93,79.1,94.5,37.8,100.4,89.4,92.3,38.7,102,95,98.3,35.6,90,83.9,93.9,,,,,40.8,113.7,107.6,110,,,,
34.9,89.2,83.6,88.8,35.4,92.9,77.6,93.5,35.7,89.6,79.7,96.5,36.6,101,89.9,100,40.7,118.3,106.1,101.6,37,92.9,86.1,95.6,,,,,,,,,,,,
35.3,92.6,83.2,96.4,37.5,89.3,78.4,96.1,39.4,89.5,83.7,98.1,37.4,105.3,99.7,99.7,35.6,102.9,94.7,100.8,38.4,100.5,90.3,98.7,,,,,,,,,,,,
35.2,92.7,82.8,91.9,36,96.8,79.4,89.2,36.3,94.4,84.6,94.3,37.9,94,88.2,95.2,38.9,98.7,92.1,98.5,39.8,111.7,100.5,108.3,,,,,,,,,,,,
35.5,95.5,83.6,91.6,36.4,91.4,80.6,92.3,36.9,95.4,86.6,91.8,35.1,94.9,94.9,100.2,35.5,97.8,86,96.2,42.1,107.6,97.5,107,,,,,,,,,,,,
37.7,97.5,88.1,96.9,37.6,93.9,88.7,94.5,41,99.2,90,96.4,38.1,97.1,89,96.9,36.3,97.4,84.3,94.4,37.4,98.6,93.1,101.6,,,,,,,,,,,,
37.8,87.6,77.6,88.6,38.7,91.6,78.8,94.3,38.5,93.6,83,98.7,36,91.6,81.8,94.8,36.3,97,86.6,92.6,38.9,101.9,96.4,105.2,,,,,,,,,,,,
36.2,88.6,74.6,85.3,37.9,95.8,82.8,94.5,35.5,92.1,77.1,93.9,38.3,104.7,95.6,93.7,37.4,102.7,98.6,100.2,36.3,96.7,89.2,98.3,,,,,,,,,,,,
33.6,88.2,73.7,88.5,38.1,104,89.4,98.4,35,94,81.2,91.5,38.8,97.4,88.7,94.7,34.2,97.8,92.3,100.6,39.4,104.1,101.8,108.6,,,,,,,,,,,,
37.4,94.2,87.6,95.6,35.3,92.3,86.8,96.1,37,98.5,90.8,102.5,37.4,103.7,89.7,94.2,35.2,91.1,85.7,96.9,34.3,98.3,88.5,98.3,,,,,,,,,,,,
37,92.2,81.9,92.8,34.8,92.8,81.1,96.3,34.1,88.5,72.8,91.1,40.4,97.2,93.3,94,38,102.7,92.7,101.9,34.4,97.3,100,101.9,,,,,,,,,,,,
36.5,89.7,82,89.1,38.3,96.2,87,97.8,34.9,90.2,86.7,98.3,36.5,98.9,89.7,96.2,39.6,104,98.6,99.5,38,100.2,88.1,97.8,,,,,,,,,,,,
36.2,93.1,85.2,94.5,36.9,93.3,81.5,94.4,37.4,101.8,86.4,101.2,40.9,103,100.3,104.2,38.5,101.4,99.8,96.2,38.7,98.2,90.3,99.9,,,,,,,,,,,,
34.5,90.2,76.3,95.8,,,,,35.2,92.3,76.5,92.1,38,106.8,89.6,102.4,37.6,99.1,90.8,98.1,36.5,92,89.7,101,,,,,,,,,,,,
33.8,79.3,69.4,85,,,,,38,97.3,86,99.3,37.5,95.9,78,93.2,39.2,101.9,93.2,100.6,35.5,97.8,90.1,95.8,,,,,,,,,,,,
35.8,91.2,79.4,89,,,,,37.8,99.6,88.5,97.1,37.5,102.7,91,98.9,36.5,99.5,93,99.3,36.2,101.1,92.4,99.3,,,,,,,,,,,,
31.5,85.1,76,88.2,,,,,37.6,94,78,99,39.1,103.3,95.9,104.9,38.4,102,91.6,103.9,35.5,97.6,91.5,98.5,,,,,,,,,,,,
,,,,,,,,36.7,96.7,86.5,98.3,39.1,100,99.8,102.5,40.5,101.3,96.4,100.1,39.5,99.2,98.1,101.4,,,,,,,,,,,,
,,,,,,,,38.5,103.8,95.6,105.1,38.5,99.1,90.4,95.6,36.5,98.4,87.2,98.4,37.9,107.2,103.1,105.5,,,,,,,,,,,,
,,,,,,,,37.5,99.1,91.6,102.4,,,,,40.2,117.6,113.8,111.8,42.1,119.2,110.3,113.9,,,,,,,,,,,,
,,,,,,,,35.7,96.6,81.5,97.2,,,,,40.5,111.5,104.2,105.8,39.4,103.4,96.7,100.7,,,,,,,,,,,,
,,,,,,,,35.1,93.3,79.6,91.6,,,,,41.3,111.4,98.8,104.8,38.3,98.3,89.7,99.1,,,,,,,,,,,,
,,,,,,,,42.1,99.6,88.6,104.1,,,,,36.4,105.1,90.7,100.3,39.4,106.8,100,105,,,,,,,,,,,,
,,,,,,,,36.4,93.6,82.9,96.3,,,,,37.8,104.6,101.1,102.1,38,106.6,97.5,100.6,,,,,,,,,,,,
,,,,,,,,38.7,100.5,88.7,99.8,,,,,40.9,110.9,100.5,106.2,41.5,115.3,108.8,114.4,,,,,,,,,,,,
,,,,,,,,38.1,100.9,82.5,99.9,,,,,35.5,86.7,80,93.4,38,100.7,92.4,97.5,,,,,,,,,,,,
,,,,,,,,37.9,100.8,89.1,102.6,,,,,37.2,99.7,95.6,102.2,37,99.1,92,98.3,,,,,,,,,,,,
,,,,,,,,38.5,101.5,83.6,98.2,,,,,40.2,99.7,95,98.6,38.5,107.4,98.9,104.1,,,,,,,,,,,,
,,,,,,,,37.3,99.6,88.8,101.4,,,,,38.5,106.5,100.9,106.2,40,107.5,94,103.7,,,,,,,,,,,,
,,,,,,,,39.4,103.6,90.9,107.7,,,,,38.7,101.8,94.9,95,39.9,107.6,100,99.6,,,,,,,,,,,,
,,,,,,,,38,96.6,85.3,102.5,,,,,37.1,108,105,103,39.5,111.4,106,108.8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,38,101.8,87.5,101,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,43.9,108.2,100.4,106.8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,40.6,104,98.2,101.1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,42.5,119.9,110.4,105.5,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,40.8,109.2,98,101.8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,39.3,103.1,97.8,99.6,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,39.2,102,99.1,110.1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,36.8,96,90,99.7,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,35.4,92.2,85.6,96.5,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,41.9,105.6,96.3,102,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,37.4,98.7,87.6,96.1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,39.8,103.9,93.5,99.5,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,37.8,103.6,99.8,103.2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,41.4,112.3,104.8,103.1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,40,106.2,100.5,109,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,38.6,105.2,102.8,103.6,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,38.2,101.1,100.1,105,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,40.1,106.5,95,101.7,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,40.5,107.5,95.1,104.5,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,40.7,103.5,95.5,101.6,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,38.3,95.4,92.4,104.3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,37.7,97.8,98.6,100.6,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,37.7,98.9,90.4,95.5,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,42,110,101.6,100.7,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,41.9,117.5,109.3,108.8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,38.3,105.3,96.7,106.6,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,40,108.5,104.6,109.8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,42.8,109.5,104.5,109.9,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,41.8,108.3,102.9,114.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,40.2,115.6,104,109,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,40.8,104.3,99.2,104.1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,39,104.5,94.4,107.8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,38.5,106.7,105.7,111.8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,40.8,104.7,106.6,107.7,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,35.6,92.1,83.5,98.3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,38.5,110.1,88.7,102.1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,41.1,113.2,99.2,107.5,,,,,,,,,,,,
